municipality,state,soil_organic_carbon,clay_content,silt_content,sand_content,soil_ph,cation_exchange_capacity
Afonso Cunha,Maranhao,33.50353600052556,24.216844021024954,27.05825216819975,48.72536156373197,5.405449540078839,12.017185085413926
Agua Doce Do Maranhao,Maranhao,32.65717354310559,28.854346865388152,23.19690331335172,47.949453717995205,5.40350500795283,15.05994438027136
Alcantara,Maranhao,46.56911238584432,34.53563709015852,29.990032968147744,35.47441034428009,5.07997241260685,15.495740713787992
Aldeias Altas,Maranhao,31.453058640698135,18.64870610581992,25.206044787033473,56.14570640207904,5.3828674884487855,12.249375623529867
Alto Alegre Do Maranhao,Maranhao,26.495730033134986,22.31767830702023,39.88385072644502,37.79802448919557,5.4749888867377425,11.514577517573029
Anajatuba,Maranhao,46.05451240788786,32.219982709264485,41.94442571468939,25.835612647020714,5.237027343567298,17.281370703052097
Anapurus,Maranhao,28.771029836496375,34.95961242194768,27.607831484748466,37.43340379553751,5.291076530736492,12.307406755349241
Apicum-acu,Maranhao,65.36576541332171,38.35030334407578,27.21924157960993,34.4310232360893,5.1985384634936915,15.97719414422186
Araioses,Maranhao,39.5387793399291,31.325324127635092,26.385353020979398,42.28896482442679,5.50920670251112,16.586340895761385
Arari,Maranhao,49.73710137468312,31.630270250568344,42.204169327996155,26.165601705102194,5.225010736232833,16.926857070739107
Axixa,Maranhao,39.97340245039088,36.3501675537494,32.60118933317871,31.04678390597209,5.059129504978861,15.172608500645492
Bacabal,Maranhao,30.269655418895077,24.682799944041623,40.60201673307938,34.71540579566547,5.368069974441952,13.41817145998942
Bacabeira,Maranhao,42.907772070734126,35.768813961322714,38.43757529681692,25.79480966385022,5.206122714691519,17.549189398353835
Bacuri,Maranhao,57.83946641414118,35.79426423573229,27.89122533984795,36.31458417025341,5.108474103998373,14.587998814322896
Bacurituba,Maranhao,38.7175886870445,37.039363228558116,31.412820573464803,31.547698966438805,5.238073996988403,17.875947509913814
Barao De Grajau,Maranhao,21.200611949770902,21.774649301861594,18.893196203349323,59.33241422541977,5.422460891554601,10.493870177374015
Barra Do Corda,Maranhao,24.304578998385004,21.906653769663414,21.310540320488492,56.78270088725494,5.357191718107456,11.720452893485971
Barreirinhas,Maranhao,34.38517071037693,34.19612494764665,27.187889266632986,38.61583136227894,5.418430177725678,15.972378937536675
Belagua,Maranhao,32.1918658400211,31.057033757324962,30.22408450592914,38.71825452145836,5.205377621299946,13.981020701700293
Benedito Leite,Maranhao,20.514039720296942,22.371895932775825,17.107297888509315,60.521164185350486,5.410516151272956,10.790879722226617
Bequimao,Maranhao,47.973042713322215,32.3176145039766,31.49371142501466,36.18859016481332,5.160418592728235,15.671229892587316
Bernardo Do Mearim,Maranhao,27.240663047171125,21.85125802410926,35.81612604803972,42.330915160190436,5.509738570026316,12.368377315945452
Bom Lugar,Maranhao,24.34984676332909,22.72277013117743,34.10849965969727,43.169258214056946,5.404328132113928,13.960045268206315
Brejo,Maranhao,30.831650612529057,35.655025150124544,28.439910275487136,35.90541049508927,5.284444335589933,12.482478991079624
Buriti,Maranhao,31.366490474201264,31.646155541191177,27.08679249217274,41.26749364823168,5.396253384399582,12.266813640583745
Buriti Bravo,Maranhao,24.590594990456545,20.401631136341912,19.37552460709292,60.223627634229445,5.2837574527944255,10.81231291828064
Cachoeira Grande,Maranhao,34.104623290020434,28.89703333299344,34.09181241670446,37.01093020696846,5.145966182921018,13.736270341169497
Cajapio,Maranhao,48.978556021457536,40.06587382289845,36.2493178440855,23.684959850090696,5.105832913758433,17.87020397686483
Cajari,Maranhao,49.35754712263629,34.788603078611345,39.69075693079454,25.522043936233114,5.107679645953678,16.482807318484966
Cantanhede,Maranhao,30.932892443052573,33.858742511469295,37.43130679205404,28.710520460336824,5.2391920690871725,12.385008250217943
Capinzal Do Norte,Maranhao,30.887255087668912,22.64550452610886,34.51894666838815,42.83507014341914,5.501613111467795,11.90754911720059
Caxias,Maranhao,28.522466239271886,18.422157568114784,22.10015104053217,59.477500407713066,5.385358839575923,11.901578594873973
Cedral,Maranhao,51.638925225938024,31.03328364061045,28.50436300009852,40.46300408235151,5.185161899729722,14.754448547064445
Central Do Maranhao,Maranhao,43.56974470525035,31.292208496472007,29.335948158539374,39.371031176064136,5.163560994674876,14.272080846995095
Chapadinha,Maranhao,34.134683611482146,30.859320093158146,25.14413630407823,43.996323717437924,5.377801160200173,12.04154795590691
Codo,Maranhao,29.84226199897544,20.66927916309537,29.04142177292538,50.28944200121599,5.503582384356001,12.21488031223107
Coelho Neto,Maranhao,33.57897866961669,23.712654692799134,28.156312192767377,48.13072539281305,5.501922517052593,12.191372692976987
Colinas,Maranhao,25.23561782006282,21.28618299483539,15.206186824512363,63.50715086487131,5.229412665257785,10.206115064696526
Conceicao Do Lago-acu,Maranhao,47.08001696410808,29.159938075365897,41.82377913839373,29.015764000871354,5.279991873706705,15.498216247940476
Coroata,Maranhao,29.339524773646804,26.293770591867297,34.48061490635703,39.22564172305887,5.4578531532712296,11.630375950546098
Cururupu,Maranhao,59.11896762270671,32.61496772848984,28.95242873111704,38.43326452217954,5.277190641893588,16.045749444247928
Dom Pedro,Maranhao,31.002622342846298,25.615726685092113,36.59765443139724,37.786632565104796,5.462089855405287,12.31412454778776
Duque Bacelar,Maranhao,31.633178390653814,27.12253833082396,27.308169496394065,45.570949100409756,5.5119612665430555,12.193585063687031
Esperantinopolis,Maranhao,31.35923806852943,24.473812662214662,33.12171870247885,42.40474197720792,5.34182833672861,11.41445075747384
Fernando Falcao,Maranhao,23.026822371925753,23.82952213784104,16.432147934118365,59.738195546078636,5.440460292911667,11.705582260844201
Fortuna,Maranhao,23.632574170016547,20.741026734840435,21.351260310237297,57.90769164323389,5.327254038511858,11.340824592413975
Goncalves Dias,Maranhao,28.91093680439487,22.838917263383834,28.209937297686867,48.95176321283539,5.473519446113532,12.198896608967244
Governador Archer,Maranhao,31.591274817257073,24.058564759000603,35.540964342828545,40.40068922734837,5.463941560978805,12.190293443852163
Governador Eugenio Barros,Maranhao,26.766329584303282,21.778540829657395,27.05506332456116,51.16679269127214,5.44520428934565,12.000568864917735
Governador Luiz Rocha,Maranhao,24.618987089490652,22.110655730787254,24.3086014880811,53.58138178220461,5.283358316459714,11.384850097995729
